var,coef
2410.zempt#2015.year,3.3934851
2410.zempt#2016.year,2.9766526
2410.zempt#2017.year,2.9845762
2410.zempt#2018.year,3.6195433
2410.zempt#2019.year,2.2810802
2411.zempt#2012b.year,-.91234267
2411.zempt#2013.year,-.44905549
2411.zempt#2014.year,.3993403
2411.zempt#2015.year,.49068788
2411.zempt#2016.year,-.78601074
2411.zempt#2017.year,-.2988036
2411.zempt#2018.year,-.25886047
2411.zempt#2019.year,-.67578304
2412.zempt#2012b.year,1.1607552
2412.zempt#2013.year,1.3130063
2412.zempt#2014.year,1.6025664
2412.zempt#2015.year,1.5965748
2412.zempt#2016.year,.98464876
2412.zempt#2017.year,1.715573
2412.zempt#2018.year,2.2257369
2412.zempt#2019.year,1.3334261
2413.zempt#2012b.year,1.1351291
2413.zempt#2013.year,1.1509517
2413.zempt#2014.year,1.085014
2413.zempt#2015.year,1.2555784
2413.zempt#2016.year,.39623868
2413.zempt#2017.year,1.0052933
2413.zempt#2018.year,1.5862845
2413.zempt#2019.year,.71017754
2414.zempt#2012b.year,-.4353539
2414.zempt#2013.year,.1071786
2414.zempt#2014.year,.62742758
2414.zempt#2015.year,.60415524
2414.zempt#2016.year,-.042162195
2414.zempt#2017.year,.21784356
2414.zempt#2018.year,.97844201
2414.zempt#2019.year,-.31170541
2415.zempt#2012b.year,.15597101
2415.zempt#2013.year,.41715452
2415.zempt#2014.year,.46096843
2415.zempt#2015.year,.86298513
2415.zempt#2016.year,-.13512728
2415.zempt#2017.year,.70890087
2415.zempt#2018.year,.76874876
2415.zempt#2019.year,.039454639
2416.zempt#2012b.year,1.6474661
2416.zempt#2013.year,.8377561
2416.zempt#2014.year,2.642345
2416.zempt#2015.year,2.6521356
2416.zempt#2016.year,2.1041362
2416.zempt#2017.year,2.4122391
2416.zempt#2018.year,3.0766733
2416.zempt#2019.year,2.2796736
2417.zempt#2012b.year,.88466001
2417.zempt#2013.year,.76399434
2417.zempt#2014.year,.98271626
2417.zempt#2015.year,.90868056
2417.zempt#2016.year,.2085346
2417.zempt#2017.year,.85408658
2417.zempt#2018.year,1.3870734
2417.zempt#2019.year,.92965281
2418.zempt#2012b.year,1.5994952
2418.zempt#2013.year,1.7778039
2418.zempt#2014.year,1.9456637
2418.zempt#2015.year,2.0108578
2418.zempt#2016.year,1.0743831
2418.zempt#2017.year,1.9184718
2418.zempt#2018.year,2.3103018
2418.zempt#2019.year,1.423918
2419.zempt#2012b.year,.55682546
2419.zempt#2013.year,1.081202
2419.zempt#2014.year,1.5973912
2419.zempt#2015.year,1.9044306
2419.zempt#2016.year,.61216408
2419.zempt#2017.year,1.0970244
2419.zempt#2018.year,1.3817952
2419.zempt#2019.year,.71233857
2501.zempt#2012b.year,-.033610038
2501.zempt#2013.year,.48120353
2501.zempt#2014.year,.22763318
2501.zempt#2015.year,.43598619
2501.zempt#2016.year,.40409699
2501.zempt#2017.year,.57259649
2501.zempt#2018.year,.78665602
2501.zempt#2019.year,.47903833
2502.zempt#2012b.year,.85586762
2502.zempt#2013.year,.98030514
2502.zempt#2014.year,1.2249556
2502.zempt#2015.year,1.2525283
2502.zempt#2016.year,.63464671
2502.zempt#2017.year,1.2247816
2502.zempt#2018.year,1.6228118
2502.zempt#2019.year,.87857169
2503.zempt#2012b.year,.63287896
2503.zempt#2013.year,.42030734
2503.zempt#2014.year,.84812832
2503.zempt#2015.year,.47270441
2503.zempt#2016.year,-.11730675
2503.zempt#2017.year,1.0186579
2503.zempt#2018.year,1.4176774
2503.zempt#2019.year,.21821672
2504.zempt#2012b.year,1.0251052
2504.zempt#2013.year,.88199627
2504.zempt#2014.year,1.0681833
2504.zempt#2015.year,1.2945048
2504.zempt#2016.year,.51679844
2504.zempt#2017.year,1.0241729
2504.zempt#2018.year,1.5709133
2504.zempt#2019.year,.71428961
2505.zempt#2012b.year,-.44646612
2505.zempt#2013.year,-.010947871
2505.zempt#2014.year,-.24502635
2505.zempt#2015.year,.034884393
2505.zempt#2016.year,-.46712199
2505.zempt#2017.year,.28144842
2505.zempt#2018.year,1.0309525
2505.zempt#2019.year,.060096134
2506.zempt#2012b.year,-.22830166
2506.zempt#2013.year,-.082124382
2506.zempt#2014.year,-.072034948
2506.zempt#2015.year,.074948721
2506.zempt#2016.year,-.61946106
2506.zempt#2017.year,.093560629
2506.zempt#2018.year,.71126682
2506.zempt#2019.year,.16229911
2507.zempt#2012b.year,1.3702587
2507.zempt#2013.year,1.3778924
2507.zempt#2014.year,1.7940021
2507.zempt#2015.year,1.9321299
2507.zempt#2016.year,1.5362298
2507.zempt#2017.year,1.8253797
2507.zempt#2018.year,2.1789751
2507.zempt#2019.year,1.8907112
2508.zempt#2012b.year,-.7224288
2508.zempt#2013.year,-.2792584
2508.zempt#2014.year,-.11200222
2508.zempt#2015.year,.28162044
2508.zempt#2016.year,-.3654533
2508.zempt#2017.year,.17541593
2508.zempt#2018.year,.41471326
2508.zempt#2019.year,-.21138416
2509.zempt#2012b.year,.51052719
2509.zempt#2013.year,.23164196
2509.zempt#2014.year,.70614022
2509.zempt#2015.year,.70637608
2509.zempt#2016.year,.22926384
2509.zempt#2017.year,.67245787
2509.zempt#2018.year,.86802751
2509.zempt#2019.year,.35758036
2510.zempt#2012b.year,.24901931
2510.zempt#2013.year,.67254192
2510.zempt#2014.year,1.2066683
2510.zempt#2015.year,.76772404
2510.zempt#2016.year,-.063853189
2510.zempt#2017.year,.95447379
2510.zempt#2018.year,1.1108999
2510.zempt#2019.year,.48446709
2511.zempt#2012b.year,.29645807
2511.zempt#2013.year,.33676919
2511.zempt#2014.year,.41881025
2511.zempt#2015.year,.60663617
2511.zempt#2016.year,-.44039676
2511.zempt#2017.year,-.30372468
2511.zempt#2018.year,.69703066
2511.zempt#2019.year,-.28337443
2512.zempt#2012b.year,.11100101
2512.zempt#2013.year,.12930654
2512.zempt#2014.year,.13238196
2512.zempt#2015.year,.32844085
2512.zempt#2016.year,-.72068441
2512.zempt#2017.year,.098051064
2512.zempt#2018.year,.60311174
2512.zempt#2019.year,-.13193685
2513.zempt#2012b.year,-.056863766
2513.zempt#2013.year,.17878294
2513.zempt#2014.year,-.022421183
2513.zempt#2015.year,.65574098
2513.zempt#2016.year,-.110819
2513.zempt#2017.year,1.0152107
2513.zempt#2018.year,1.2292234
2513.zempt#2019.year,.97857571
2601.zempt#2012b.year,.21521649
2601.zempt#2013.year,.88259625
2601.zempt#2014.year,1.2343516
2601.zempt#2015.year,1.2010751
2601.zempt#2016.year,.84723026
2601.zempt#2017.year,1.433707
2601.zempt#2018.year,2.1698544
2601.zempt#2019.year,1.2513244
2602.zempt#2012b.year,-.53384924
2602.zempt#2013.year,-.73356509
2602.zempt#2014.year,-.48705405
2602.zempt#2015.year,-.31817824
2602.zempt#2016.year,-.62609553
2602.zempt#2017.year,-.73869288
2602.zempt#2018.year,1.4067641
2602.zempt#2019.year,-.9608193
2603.zempt#2012b.year,.44974715
2603.zempt#2013.year,1.2863947
2603.zempt#2014.year,1.5136112
2603.zempt#2015.year,1.6894834
2603.zempt#2016.year,.96906543
2603.zempt#2017.year,1.6356267
2603.zempt#2018.year,2.0542445
2603.zempt#2019.year,1.3716085
2604.zempt#2012b.year,-.73652667
2604.zempt#2013.year,-.2573151
2604.zempt#2014.year,-.1207175
2604.zempt#2015.year,.82211572
2604.zempt#2016.year,-.21504119
2604.zempt#2017.year,.32535648
2604.zempt#2018.year,.83471978
2604.zempt#2019.year,.025534119
2605.zempt#2012b.year,-1.5779121
2605.zempt#2013.year,-.14213639
2605.zempt#2014.year,-.39931619
2605.zempt#2015.year,-1.0510345
2605.zempt#2016.year,-1.277474
2605.zempt#2017.year,-1.0177786
2605.zempt#2018.year,-.62905109
2605.zempt#2019.year,-1.4714493
2606.zempt#2012b.year,-.35896519
2606.zempt#2013.year,.36223072
2606.zempt#2014.year,.55111325
2606.zempt#2015.year,.46977624
2606.zempt#2016.year,.099825576
2606.zempt#2017.year,.71498626
2606.zempt#2018.year,1.1463175
2606.zempt#2019.year,.46421441
2607.zempt#2012b.year,-1.0511733
2607.zempt#2013.year,-.20472507
2607.zempt#2014.year,-.0039861719
2607.zempt#2015.year,.04045077
2607.zempt#2016.year,-.90008444
2607.zempt#2017.year,-.13374734
2607.zempt#2018.year,-.19417793
2607.zempt#2019.year,-.74681509
2608.zempt#2012b.year,-.037569754
2608.zempt#2013.year,.93217492
2608.zempt#2014.year,1.1501937
2608.zempt#2015.year,1.3469479
2608.zempt#2016.year,.46315756
2608.zempt#2017.year,1.1606441
2608.zempt#2018.year,1.7568631
2608.zempt#2019.year,.91041577
2609.zempt#2012b.year,-1.3424804
2609.zempt#2013.year,-.53565276
2609.zempt#2014.year,-.32605714
2609.zempt#2015.year,.23711945
2609.zempt#2016.year,-.54464644
2609.zempt#2017.year,-.12830147
2609.zempt#2018.year,.8444975
2609.zempt#2019.year,-.53642458
2610.zempt#2012b.year,.28889105
2610.zempt#2013.year,1.1065046
2610.zempt#2014.year,1.532725
2610.zempt#2015.year,1.4812679
2610.zempt#2016.year,.16284025
2610.zempt#2017.year,1.3783909
2610.zempt#2018.year,2.0735848
2610.zempt#2019.year,1.5221426
2611.zempt#2012b.year,-.40261009
2611.zempt#2013.year,.1777484
2611.zempt#2014.year,.2304136
2611.zempt#2015.year,.31644091
2611.zempt#2016.year,-.099639036
2611.zempt#2017.year,.13302526
2611.zempt#2018.year,.7851541
2611.zempt#2019.year,.18596722
